ID,Topics
0,"[ 2.32392310e-04  2.68895934e-02 -2.44478388e-03 -5.92293603e-03
 -4.38118091e-03  5.50949038e-04  2.07175977e-03  7.24286477e-03
 -7.59253717e-03  8.92155304e-04  6.13297979e-03  4.04699441e-02
  1.81165192e-02  9.11480997e-03  1.29719340e-03 -2.16802502e-02
  7.98933059e-03 -2.56621204e-03  5.95726780e-03  7.31110212e-03
 -1.64449539e-03  1.67953786e-03  1.03185759e-03  1.05737513e-03
  2.01851092e-03  4.94199831e-03 -1.15179799e-03 -2.84527316e-03
 -1.97452424e-03  8.10588215e-04  5.23094621e-03  3.48979658e-03
 -3.35802457e-03 -5.35051997e-04  8.53119543e-04 -3.42525295e-03
 -9.00410489e-04 -2.21943871e-03  2.94984965e-04 -1.07328871e-03
 -3.18061443e-03  1.77230343e-03  4.55036181e-03  3.04634067e-03
 -3.73309525e-03 -6.51748004e-03  6.56696322e-03  5.74732274e-04
 -9.56756133e-04  2.34554598e-04 -1.47518411e-03  3.62865315e-04
  1.74670288e-03 -3.19431867e-03 -7.14724262e-04 -1.39609573e-03
  5.07392648e-03 -9.68074262e-05 -1.61334612e-03  1.66496102e-03
 -4.95192842e-03  1.38031925e-03  3.96068153e-03 -1.73126231e-03
  8.28997805e-03  3.19712534e-04  9.89701662e-03 -9.93513512e-03
  6.59283602e-03 -5.96583438e-03  2.32085459e-03 -5.67303979e-03
  1.08483518e-02 -7.26104020e-04 -1.35177563e-02  7.80340744e-03
  1.17458747e-02 -1.07061260e-03 -3.90633968e-05 -2.84393365e-02
 -3.22707350e-03 -1.26325770e-02  8.06006622e-04  5.62706941e-03
  1.66772766e-02  2.23440214e-02  1.86580649e-03 -1.23046818e-02
 -2.90074252e-02 -2.70039879e-02  8.31550159e-03 -2.68687821e-02
 -9.13356945e-03  1.53439456e-02  6.34122904e-03 -2.67513504e-02
  6.39806352e-03  3.38383505e-02 -1.35058282e-02 -4.64806513e-03]"
1,"[ 2.37892677e-04  2.12216596e-02 -1.90875842e-03 -4.60207016e-03
 -3.67424079e-03  4.87710346e-04  4.81012880e-04  1.61054444e-03
 -3.90057705e-03  8.63638954e-04  4.75858246e-03  3.15348683e-02
 -7.31525737e-03  3.49997853e-03  3.40830087e-03 -5.37334394e-03
  1.80251793e-03 -1.23799846e-04 -4.19618750e-03  3.11318121e-03
 -4.03327460e-03 -1.73928973e-03 -2.15609523e-03  2.85273612e-03
  5.69641215e-03  1.13989343e-02  7.17131775e-05 -1.18430344e-02
 -3.75678784e-03  6.70074466e-03  1.24104366e-02  3.96996518e-03
  6.59342690e-04 -1.02158206e-02 -2.98093171e-03 -6.96273392e-03
 -7.62440365e-03 -1.13036572e-02  8.19890035e-03 -1.12593254e-02
 -3.44590407e-03  3.52588123e-03  2.44428638e-03 -5.86950575e-03
 -5.68040171e-03 -1.48591882e-02  2.50115251e-03  4.27926997e-03
  6.14999530e-04 -1.91388593e-02  1.97398945e-02 -2.90960912e-03
  3.47312432e-03  3.19331797e-02 -1.49311464e-03 -7.30859141e-04
  1.72910927e-02  2.01971015e-03 -8.91256104e-03 -1.35800981e-02
 -6.29135668e-03  1.36055773e-02  7.23463681e-03 -2.28179721e-02
  1.22590197e-02  2.53962670e-03  1.79507772e-02  2.05901663e-03
  1.38093554e-02 -1.97089634e-02  8.35110924e-03 -2.60187731e-03
  1.49396188e-02  3.30612191e-02 -1.64095027e-02 -3.56598249e-02
  2.99250319e-02  1.16753968e-02  1.52469886e-02  2.20933542e-02
 -3.27949478e-02  4.41103660e-03  3.28514713e-02  3.05913804e-03
  2.11339406e-02  3.09494425e-03 -2.91037920e-04 -3.40638009e-02
 -8.02906160e-03 -1.84840334e-02  5.88801270e-03 -4.49491757e-02
 -5.63603033e-03  8.91355722e-03  1.07780045e-03 -3.76119138e-03
  1.77596803e-02  2.17233093e-02  3.15436761e-03 -2.60078520e-02]"
2,"[ 2.77679834e-04  2.02496284e-02 -8.07979270e-05  6.20439580e-03
 -2.47354202e-03  2.72499964e-03 -7.92717266e-04 -3.22659630e-03
  2.04871535e-01 -6.49093221e-03 -4.15239811e-02  1.13235376e-02
  8.50932757e-03 -1.47486393e-02 -3.42328788e-02  6.05507091e-03
 -2.55219921e-03  3.00945508e-03  4.22602146e-02  6.39586486e-02
 -8.38364285e-02  3.02261568e-02  5.04579154e-01 -2.41541188e-02
 -4.60931629e-02 -5.21099691e-02  1.71542513e-01 -4.12769911e-02
  4.87360171e-02 -1.00000111e-02  1.18895216e-01 -1.08197895e-02
 -3.19118629e-02 -1.59821075e-02 -1.83418109e-02 -8.26731882e-02
  1.08485962e-02 -3.24337230e-02  2.80123107e-02 -3.98471069e-03
  1.04480038e-02  4.39399114e-03 -4.89518712e-03  5.41253378e-03
 -1.08899490e-02 -7.45464208e-04 -7.58176928e-03  5.48758373e-03
  9.62037107e-03 -2.67962762e-02 -2.41570224e-02  1.42344947e-03
 -3.66007080e-02  1.10840267e-03  7.44424501e-02  1.59647946e-02
  1.08976504e-02  1.77713745e-03  8.25803545e-03  9.43728506e-03
 -3.00981967e-02  1.79110528e-02  1.72872151e-03  3.22254549e-02
  3.10951315e-02 -5.57979223e-03 -3.33016470e-02 -4.80364321e-02
 -9.97095402e-03 -3.06625442e-02 -4.92474246e-02  7.23396192e-03
 -2.54214581e-02  5.09622423e-03 -2.71243981e-02 -4.22758329e-02
 -1.77383564e-02  2.61214651e-02 -4.94335718e-02  1.45766926e-02
 -3.87314302e-02 -1.38514176e-02 -3.22571567e-02 -3.94368979e-02
  1.54814547e-02  2.88588212e-02 -1.90171866e-02  5.78286604e-03
  7.28791530e-03  1.27447174e-02  2.76130454e-02  4.42422970e-02
  1.92021061e-02 -5.28807840e-03 -3.71900809e-02 -9.78885603e-03
 -4.15587749e-02  1.29583286e-02 -4.74785863e-02 -1.18930983e-02]"
4,"[ 0.00045728  0.03280951 -0.00179981 -0.0020427  -0.00480239  0.00113711
  0.00115569  0.00425087  0.0118834   0.00177183  0.01070038  0.00715922
  0.02894363  0.0053978  -0.01220125  0.03224756 -0.01341199  0.0020921
 -0.04404521 -0.01536331 -0.01879448 -0.00220028  0.00387293 -0.00219392
  0.00811438  0.03322233  0.01157944 -0.04743911 -0.02017533  0.08107677
 -0.03849577  0.1169619  -0.06349759  0.0494177   0.00143924 -0.02240697
 -0.00063376 -0.00058358  0.01655899  0.02065829  0.01530678  0.00391231
  0.01993294  0.04037287 -0.00741276  0.02791611 -0.01877419 -0.00608076
  0.02023121 -0.00491818 -0.03595784  0.00224852 -0.04788395  0.00367336
  0.03625635 -0.03319726  0.01186032 -0.06454325  0.00714105 -0.10480497
  0.00050907  0.09670507 -0.01789157  0.07117745  0.00641039 -0.01511728
 -0.05307879  0.03270008  0.02534764 -0.01915239 -0.06734128  0.02040103
  0.0034524  -0.00677613  0.10964028  0.00540567  0.00172391 -0.02137555
  0.01412821  0.02818954  0.05459655  0.03671548  0.0078741  -0.02240439
 -0.03118631 -0.0082343   0.00520032 -0.00348251 -0.03308914 -0.02503014
 -0.05430748 -0.02270972  0.08108885 -0.05225875  0.01792856 -0.04025606
 -0.0239231   0.00200329 -0.05062677 -0.04193402]"
5,"[ 1.45824094e-04  1.03978035e-02  1.86298698e-03  8.55194019e-03
  1.40302973e-03  5.16643854e-03  1.01428038e-05 -1.89635326e-04
  1.21695469e-02  3.30074101e-04  1.15957525e-02  3.06481160e-03
  1.11458353e-02  4.26395628e-04 -2.24960130e-03  2.03848405e-02
 -9.69168214e-03  2.27916293e-03 -7.83240109e-05 -4.68467635e-04
  1.17785121e-03 -2.66543233e-03 -1.55160621e-02  4.22449495e-03
  3.13377259e-04  6.43776147e-03  2.29401542e-03 -1.78421122e-02
 -8.05158677e-05  9.09641027e-03 -8.07439718e-03 -3.37556297e-02
 -4.43626010e-02  2.94847142e-02  3.88539602e-03  1.36235729e-02
 -4.58934158e-02 -1.73277769e-02  9.06371383e-02 -2.85147004e-02
 -1.70000918e-03  1.66161243e-03  2.24007911e-02  3.34073669e-03
  1.47367968e-02 -1.31474234e-02 -2.13494825e-04 -3.32072294e-03
  2.94877544e-03 -1.12204848e-02  2.17659730e-02 -4.93340381e-04
 -2.21435872e-03  9.31416434e-03  1.83106246e-04 -3.02745540e-03
  1.49336443e-02  1.28748584e-02 -1.69277948e-02 -7.77758583e-03
 -1.58654917e-02  4.08590419e-02  3.96576978e-03 -9.88330767e-03
 -4.09063345e-02 -2.56775196e-02  5.13360442e-03  3.66705041e-02
  2.49762748e-03 -4.01686194e-02  3.64331828e-02  1.95151753e-02
  6.42425478e-02  4.94164281e-02 -3.09699235e-02 -9.09149158e-02
  6.40550502e-03 -3.00594708e-02 -8.20959034e-03 -1.90341287e-02
 -6.01038536e-03 -4.50502822e-02 -5.80324834e-02  2.13004231e-02
  5.49687268e-02  2.72681449e-02 -4.02312726e-02  6.89087233e-03
 -2.54893264e-02  6.63035973e-02 -9.17288983e-03  4.12394098e-02
 -2.35071169e-02  2.03624759e-02  3.62595615e-02 -2.96003170e-02
 -4.44743007e-02  2.58296246e-02 -1.17993204e-03  9.92632817e-03]"
6,"[ 6.27085503e-02  5.03138541e-02 -5.80613906e-03 -8.34896206e-03
 -6.63768421e-03 -1.15779221e-03  5.78415621e-03  2.80796605e-02
  1.06638593e-02 -5.31237499e-05 -2.67704008e-03  2.07337812e-02
  1.88553445e-02  1.17912546e-02  6.64196956e-02  3.19687109e-02
 -2.76146647e-02  6.64039161e-02 -4.30842103e-03  3.44973768e-02
 -7.21151092e-02  6.22180624e-03  9.43625966e-03  5.88848370e-03
 -4.43808386e-03  1.31175368e-02  2.90781550e-02 -1.52095936e-02
 -3.90690113e-03  5.16429363e-03 -1.04854090e-02  2.10074979e-04
 -5.90409031e-03 -1.71448549e-03 -1.77991010e-03  7.48555165e-03
  3.39502945e-03 -5.82247462e-03 -3.68640623e-03 -7.81047845e-03
 -2.37515016e-03 -1.86990841e-04 -1.62509434e-02 -1.69020607e-02
  2.71128214e-03 -1.25817756e-02  2.02921741e-03  5.31807785e-03
  1.45860391e-03  5.20666744e-03  7.05232673e-03 -1.17066294e-02
  1.31317855e-02 -1.70639337e-05 -7.30504142e-03  1.59769533e-02
  4.48096259e-03  1.99742802e-03  9.23921186e-03 -6.50011584e-03
  1.64303846e-02  7.17412554e-03  5.64424126e-03 -8.09208379e-03
 -1.33827986e-02  4.28333652e-02  1.03349906e-02  1.40901943e-02
  1.26194780e-02 -1.07668610e-02  4.54362820e-03  6.13749885e-03
 -1.50013236e-04 -2.26309946e-02 -1.92873785e-03 -5.12165880e-03
  1.69061159e-02  3.16194218e-03  1.19198389e-02  1.98703806e-05
  1.97532500e-02 -8.42965167e-03  1.39446356e-02  7.10580672e-04
 -3.77325600e-02  5.82054920e-03  3.34182260e-03  5.04405584e-02
  7.51429687e-03  3.78143388e-03 -2.59372161e-02 -3.40088782e-02
 -3.05680535e-02  8.36604039e-03  1.10192093e-02 -2.66166425e-02
 -1.48683401e-03 -1.61314838e-02  2.26519406e-02 -5.36382114e-03]"
7,"[ 4.40028415e-04  3.81337795e-02 -2.13067555e-03 -4.89245795e-03
  7.26702846e-04  4.76270877e-03  1.92294724e-02  9.87204380e-02
  4.79033612e-04  1.78401478e-03  1.05597288e-02  2.25289115e-02
  5.39189701e-02  7.38691075e-03 -1.61742394e-02  4.43570403e-02
 -4.53258811e-03  1.11846300e-02 -3.36075197e-02 -8.66477695e-03
 -9.83357589e-03 -2.81419809e-03 -3.49902570e-03  1.02979508e-01
  1.96200387e-05 -5.32681000e-03  9.53179121e-04 -1.27938777e-02
 -5.92648518e-03  1.12381895e-02 -2.42594838e-03 -2.72369202e-03
 -5.24524323e-02  3.21328821e-02  7.34575097e-03 -8.55383846e-03
 -1.86867414e-02 -1.55261048e-02 -7.96823225e-03 -2.64497219e-02
 -1.05315016e-02 -8.09465629e-04 -1.76317962e-02 -5.96886810e-02
  5.70855370e-02 -2.90444046e-02 -5.66493078e-03 -1.70350273e-02
 -1.13099431e-03  1.58316386e-02  3.17640715e-02 -1.05286752e-02
  1.55319894e-02  1.72822289e-02 -6.92886962e-03  3.90604566e-02
  4.47137087e-02  3.02086787e-02  4.02666728e-02  4.22611956e-02
 -1.00066259e-03  1.80970304e-02  1.59656331e-02  1.86656341e-02
 -2.20202598e-02  3.23859878e-02  1.34742297e-02 -1.33198986e-02
  1.20493943e-02 -3.92026880e-02  1.48395916e-02 -1.38189063e-03
  6.21045366e-03 -5.97052796e-03 -2.22719702e-02 -6.37641241e-02
 -1.11370493e-02  5.86483128e-03 -7.86608698e-03 -3.38252761e-02
  3.67286658e-02  3.26240074e-02 -1.13969331e-02 -1.49338730e-02
  3.24257614e-02  1.69515338e-02 -4.86832372e-02  7.06257309e-02
 -2.48560405e-02  6.39248095e-02  4.30922267e-02  1.73003112e-02
 -7.29294148e-03 -3.10558186e-02  8.11976060e-02 -3.61068646e-02
 -4.58073804e-03  2.84508875e-02  3.71093651e-02 -1.59605259e-02]"
8,"[ 1.13347329e-01  3.15805475e-02 -5.32334710e-03 -5.52638452e-03
 -3.55064513e-03 -3.10471238e-03  1.02385653e-03  6.91962733e-03
  2.66721881e-02 -1.41370975e-03 -4.05503550e-03  1.83985368e-02
  4.23609847e-02  5.23254506e-03 -2.07722115e-02  3.01121994e-02
 -1.40964535e-02  1.42409538e-02 -2.25783138e-02 -5.34228060e-04
 -1.88094444e-02  1.66116769e-03  4.21723705e-02 -2.03704910e-03
 -4.69364815e-03  2.70872555e-03  2.81180172e-02 -1.09722258e-02
  2.43482344e-03  8.43123927e-03 -1.35500900e-02  4.77657895e-03
 -2.40021876e-03 -9.25717775e-04  1.31243658e-03  1.39477150e-02
 -2.67408862e-03  3.47552329e-03  1.77613510e-04 -1.59506118e-02
 -5.94962774e-03 -4.60013721e-04 -1.67148992e-02 -2.43493951e-02
  8.30691951e-03 -1.25706145e-02  2.40814638e-03  5.50574587e-03
 -9.51308264e-03  3.28497618e-02  1.45983118e-02 -1.48529578e-02
  2.68389463e-02  9.71722501e-03 -2.14799967e-02  1.56060763e-02
  7.67861158e-03  6.77408351e-03 -1.26023776e-03  5.93159517e-03
  8.49757379e-03 -6.49638144e-03  1.05638210e-02  6.27738643e-03
 -1.25928703e-02  3.21878972e-02  1.44466793e-02 -1.45901123e-02
  6.55053244e-03 -1.78212332e-02  4.84633474e-03 -4.18644065e-03
 -6.93998537e-03 -1.93156096e-02  1.76319280e-03  1.01430486e-02
  1.18580106e-02  3.30281534e-03  1.53869383e-02 -1.20592052e-02
  2.32695363e-02  1.04754725e-02 -9.32011795e-03  4.00692035e-02
 -4.90503608e-03  4.79883778e-03  6.14573999e-03  1.95316208e-02
 -9.31011108e-03 -4.75255026e-03  7.25987706e-03 -2.30251331e-02
  9.29515781e-03 -2.58833133e-02  2.98577614e-02 -3.26174982e-05
  2.67596655e-02  1.03979918e-04  2.66664661e-02 -3.33055843e-02]"
9,"[ 0.00143506  0.14536587 -0.01282188 -0.02718022 -0.02914628  0.00317336
  0.00412821  0.03367876  0.0070948  -0.00304439 -0.00998249 -0.02049401
 -0.01046459 -0.00527516  0.00651247 -0.04563304  0.0189007  -0.02683644
  0.01628132  0.00876415 -0.00697705 -0.00201167  0.07629821 -0.00680968
 -0.01237356 -0.01710448  0.01878261 -0.01158119  0.00145362  0.01590773
  0.01111478 -0.01083368  0.00097377 -0.01539625 -0.00705138 -0.03928284
  0.00456771 -0.02189636  0.01669768 -0.00063055  0.02870414  0.00257004
 -0.01790149  0.00454326 -0.02346454 -0.00412269  0.0055789  -0.00735139
 -0.01704002  0.00185058 -0.01308643 -0.00684106 -0.01207577  0.00123771
  0.01153158 -0.00841848 -0.01667682  0.00475831 -0.01896876  0.01010426
  0.01257694  0.02095848  0.02542968 -0.00999848  0.0317653  -0.01130279
 -0.01086423 -0.00913001 -0.02492043  0.00837705 -0.00485321  0.01115838
 -0.00352763 -0.01197471 -0.00217764 -0.02425038  0.00654104  0.00599407
 -0.01375247  0.00796873 -0.01539316  0.00914297 -0.01220545 -0.03231984
 -0.00981321  0.0166123   0.00906418 -0.02965613  0.0083118   0.01589878
  0.01746582  0.00080621  0.01754001  0.00972392  0.00121457 -0.01842581
 -0.00510958 -0.00759876  0.00229698 -0.00065166]"
11,"[ 2.31735892e-04  1.34452789e-02 -5.44002454e-04 -6.73893776e-04
 -1.87649113e-03  1.02681519e-03  1.04766339e-03  3.74933839e-03
  9.72809257e-03  1.29406120e-03  7.56628986e-03  6.62839689e-03
  2.08326670e-02  3.74686434e-03 -1.03707425e-02  2.42841000e-02
 -9.97620464e-03  2.83306526e-03 -2.75216108e-02 -1.06742497e-02
 -1.10083076e-02 -1.17338301e-03  2.23265969e-03 -1.91375193e-03
  4.62959862e-03  2.10439320e-02  1.11102235e-02 -3.21089306e-02
 -1.28127436e-02  5.67886418e-02 -2.77162682e-02  8.50194019e-02
 -4.39967622e-02  3.47100969e-02  1.86350063e-03 -1.67822561e-02
  1.31480806e-05  8.18480374e-04  7.94901098e-03  1.47655284e-02
  1.26303392e-02  2.89417979e-03  1.37107312e-02  2.82476619e-02
 -3.76034349e-03  1.61732792e-02 -1.13236420e-02 -3.28325027e-03
  1.17917781e-02 -2.04452323e-03 -2.26328133e-02 -1.42962237e-03
 -3.17791713e-02  3.71012155e-03  2.06264439e-02 -2.09900454e-02
  5.02839740e-03 -4.21257387e-02  7.59899702e-04 -7.15012137e-02
  1.94795517e-03  7.14839052e-02 -8.76404042e-03  4.62737674e-02
  4.39591483e-03 -1.24380161e-02 -3.74008076e-02  2.35530661e-02
  1.85709749e-02 -6.65184238e-03 -4.83925593e-02  1.42149390e-02
  9.46893688e-03  5.96103976e-04  7.80346316e-02 -1.87393524e-03
  8.40396180e-03 -1.81975579e-02  6.58754060e-04  1.52705243e-02
  4.10389025e-02  1.99720837e-02  8.02796151e-03 -1.84569698e-02
 -2.03519690e-02 -8.30173248e-03  8.90054119e-03 -9.98379943e-04
 -1.65966610e-02 -1.46269966e-02 -3.56029156e-02 -1.76207929e-02
  5.86763097e-02 -4.18588083e-02  2.14367089e-02 -1.87848559e-02
 -2.08665937e-02 -9.62130076e-04 -3.53192806e-02 -2.10052932e-02]"
