Topic 0:  ['πλειοψηφ', 'δεκτ', 'αρθρ', 'εγιν', 'ερωτ']
Topic 1:  ['προεδρ', 'υπουργ', 'ευχαριστ', 'προσωπ', 'αρθρ']
Topic 2:  ['υπουργ', 'δεκτ', 'αρθρ', 'εγιν', 'ερωτ']
Topic 3:  ['δεκτ', 'αρθρ', 'εγιν', 'ερωτ', 'πλειοψηφιαερωτ']
Topic 4:  ['χρον', 'ευχαριστ', 'κυβερνης', 'ελλην', 'νομοσχεδ']
Topic 5:  ['ευχαριστ', 'υφυπουργ', 'δευτερολογ', 'δεκτ', 'κοινοβουλευτ']
Topic 6:  ['υφυπουργ', 'δευτερολογ', 'απαντ', 'χρον', 'ερωτης']
Topic 7:  ['αρθρ', 'δευτερολογ', 'εγιν', 'πλειοψηφιαερωτ', 'χρον']
Topic 8:  ['υφυπουργ', 'αρθρ', 'εγιν', 'τροποποι', 'ερωτ']
Topic 9:  ['τροπολογ', 'δευτερολογ', 'γενικ', 'νομοσχεδ', 'συζητης']
Topic 10:  ['απαντ', 'τροπολογ', 'αρθρ', 'συζητης', 'κοινοβουλευτ']
Topic 11:  ['προσωπ', 'δευτερολογ', 'τροπολογ', 'συνιστ', 'ευχαριστ']
Topic 12:  ['διακοπτ', 'χρον', 'προσωπ', 'κοινοβουλευτ', 'τελειως']
Topic 13:  ['χρον', 'τελειως', 'προσωπ', 'τροπολογ', 'απαντ']
Topic 14:  ['κοινοβουλευτ', 'χρον', 'βουλευτ', 'πασοκ', 'προσωπ']
Topic 15:  ['ερωτης', 'συζητης', 'βουλευτ', 'επικαιρ', 'ερωτ']
Topic 16:  ['τελειως', 'νομοσχεδ', 'συζητης', 'προεδρει', 'συνολ']
Topic 17:  ['τελειως', 'πλειοψηφιαερωτ', 'βουλευτ', 'ερωτης', 'τροπολογ']
Topic 18:  ['ερωτ', 'τελειως', 'τροποποι', 'τμημ', 'βουλευτ']
Topic 19:  ['διακοπ', 'συνεχιστ', 'παρακολουθ', 'θεωρει', 'καλωσοριζ']
Topic 20:  ['νομοσχεδ', 'παρακολουθ', 'θεωρει', 'καλωσοριζ', 'μαθητ']
Topic 21:  ['ολοκληρως', 'συζητης', 'ερωτης', 'συνεχιστ', 'κοινοβουλευτ']
Topic 22:  ['ολοκληρως', 'βουλευτ', 'προεδρει', 'συνεχιστ', 'πασοκ']
Topic 23:  ['συνεχιστ', 'ενταξ', 'ειπατ', 'βουλευτ', 'ερωτ']
Topic 24:  ['ενταξ', 'ειπατ', 'προεδρει', 'ερωτης', 'εξουσιοδοτ']
Topic 25:  ['ειπατ', 'συζητης', 'βουλευτ', 'πραγμ', 'πασοκ']
Topic 26:  ['ερωτης', 'προεδρει', 'ειπατ', 'επικαιρ', 'τροποποι']
Topic 27:  ['συζητης', 'τροποποι', 'εγιν', 'προεδρει', 'πλειοψηφιαερωτ']
Topic 28:  ['νομοσχεδ', 'εγιν', 'τροποποι', 'πλειοψηφιαερωτ', 'υπουργει']
Topic 29:  ['πραγμ', 'συζητ', 'τροποποι', 'κυβερνης', 'κομμ']
Topic 30:  ['πραγμ', 'βουλευτ', 'κοινοβουλευτ', 'ερωτης', 'νομοσχεδ']
Topic 31:  ['κομμ', 'κομμουνιστ', 'πραγμ', 'ελλαδ', 'δικαιωμ']
Topic 32:  ['τροποποι', 'δικαιωμ', 'συζητ', 'ομιλητ', 'βουλευτ']
Topic 33:  ['δικαιωμ', 'κυβερνης', 'ερωτης', 'νομοσχεδ', 'ακους']
Topic 34:  ['λαφαζαν', 'ομιλητ', 'ακους', 'πεντ', 'εισηγητ']
Topic 35:  ['ομιλητ', 'εισηγητ', 'ακους', 'τροποποι', 'πασοκ']
Topic 36:  ['εγιν', 'ομιλητ', 'συζητ', 'ακους', 'πεντ']
Topic 37:  ['ακους', 'βουλευτ', 'περιμεν', 'τροποποι', 'αποψ']
Topic 38:  ['αρχιζ', 'κυβερνης', 'ομιλητ', 'οικονομ', 'ακους']
Topic 39:  ['πασοκ', 'εισηγητ', 'αρχιζ', 'κακλαμαν', 'λαφαζαν']
Topic 40:  ['πεντ', 'αρχιζ', 'πασοκ', 'εικος', 'νομοσχεδ']
Topic 41:  ['οικονομ', 'εισηγητ', 'πασοκ', 'δικαιωμ', 'ακους']
Topic 42:  ['κακλαμαν', 'οικονομ', 'υπουργει', 'αποστολ', 'δικαιωμ']
Topic 43:  ['κορακ', 'εισηγητ', 'υπουργει', 'κυβερνης', 'πεντ']
Topic 44:  ['εισηγητ', 'κυβερνης', 'υπουργει', 'καταθες', 'πεντ']
Topic 45:  ['πασοκ', 'υπουργει', 'καταθες', 'λοβερδ', 'κομμ']
Topic 46:  ['λοβερδ', 'παρεμβας', 'συντομ', 'ανδρε', 'κλεις']
Topic 47:  ['παρεμβας', 'συντομ', 'μικρ', 'πασοκ', 'οικονομ']
Topic 48:  ['καταθες', 'οικονομ', 'νομοτεχν', 'εγγραφ', 'βελτιως']
Topic 49:  ['οικονομ', 'καταλαβ', 'παρατηρης', 'παυλοπουλ', 'αποψ']
Topic 50:  ['καταλαβ', 'τμημ', 'αδει', 'ζητηθεις', 'ενεκριν']
Topic 51:  ['αδει', 'ζητηθεις', 'ενεκριν', 'εγκριν', 'απους']
Topic 52:  ['παυλοπουλ', 'τμημ', 'προκοπ', 'αδει', 'ζητηθεις']
Topic 53:  ['προεδρε', 'υπουργει', 'ανοχ', 'ελλην', 'αποψ']
Topic 54:  ['γενικ', 'καταλαβ', 'προεδρε', 'παυλοπουλ', 'παρατηρης']
Topic 55:  ['τμημ', 'παρατηρης', 'οικονομ', 'πλειοψηφιαερωτ', 'αποψ']
Topic 56:  ['ανοχ', 'γενικ', 'τμημ', 'καταθες', 'οικονομ']
Topic 57:  ['παρατηρης', 'ανοχ', 'προχωρ', 'διευκρινις', 'αγροτ']
Topic 58:  ['διευκρινις', 'αντιρρης', 'αναφερ', 'ομιλ', 'αφορ']
Topic 59:  ['αντιρρης', 'προχωρ', 'αποψ', 'καταλαβ', 'οικονομ']
Topic 60:  ['ομιλ', 'διακοψ', 'αντιρρης', 'μιλατ', 'κλεις']
Topic 61:  ['προχωρ', 'ομιλ', 'αναφερ', 'κεδικογλ', 'διακοψ']
Topic 62:  ['ομιλ', 'ανοχ', 'αναφερ', 'αντιρρης', 'ελλην']
Topic 63:  ['μιλατ', 'προχωρ', 'κανατ', 'γενικ', 'αντιρρης']
Topic 64:  ['κεδικογλ', 'κουβελ', 'ομιλ', 'ελλην', 'κρατ']
Topic 65:  ['προχωρ', 'ομιλ', 'κλεις', 'διευκρινις', 'γεωργιαδ']
Topic 66:  ['κουβελ', 'μιλατ', 'προχωρ', 'συνασπισμ', 'αποψ']
Topic 67:  ['διακοψ', 'ελλην', 'γενικ', 'κρατ', 'παρατηρης']
Topic 68:  ['αποψ', 'μιλατ', 'ομιλ', 'προχωρ', 'συνολ']
Topic 69:  ['γεωργιαδ', 'κλεις', 'εξηγ', 'ροντουλ', 'αποψ']
Topic 70:  ['κλεις', 'εξηγ', 'προχωρ', 'κρατ', 'ανοχ']
Topic 71:  ['εξηγ', 'ομιλ', 'κανατ', 'γεωργιαδ', 'υγει']
Topic 72:  ['εξηγ', 'κλεις', 'αναπτυξ', 'γενικ', 'αγροτ']
Topic 73:  ['κανατ', 'αποψ', 'αγροτ', 'αναπτυξ', 'γενικ']
Topic 74:  ['κεφαλογιανν', 'προεδρει', 'ελλην', 'νομοσχεδ', 'τμημ']
Topic 75:  ['κεφαλογιανν', 'πολλ', 'παραπαν', 'συνολ', 'γεωργιαδ']
Topic 76:  ['κρατ', 'αναφερ', 'σκυλλακ', 'αποψ', 'κεφαλογιανν']
Topic 77:  ['αναφερ', 'βενιζελ', 'πολλ', 'ροντουλ', 'αποψ']
Topic 78:  ['βενιζελ', 'σκυλλακ', 'αφορ', 'γεωργιαδ', 'ευαγγελ']
Topic 79:  ['ροντουλ', 'συναγερμ', 'ορθοδοξ', 'λαικ', 'αφορ']
Topic 80:  ['σκυλλακ', 'ροντουλ', 'πολλ', 'παραγραφ', 'σημει']
Topic 81:  ['γνωριζ', 'κωνσταντοπουλ', 'υγει', 'περιμεν', 'παραπαν']
Topic 82:  ['κωνσταντοπουλ', 'συνασπισμ', 'αδει', 'αγορητ', 'σκυλλακ']
Topic 83:  ['αναφερθ', 'αφορ', 'ονομ', 'συριζ', 'σκυλλακ']
Topic 84:  ['κωνσταντοπουλ', 'κρατ', 'αναφερθ', 'αφορ', 'ονομ']
Topic 85:  ['περιμεν', 'υπουργει', 'κωνσταντοπουλ', 'παραγραφ', 'αγροτ']
Topic 86:  ['αναφερθ', 'κεγκερογλ', 'παραγραφ', 'ονομ', 'τμημ']
Topic 87:  ['κεγκερογλ', 'αφορ', 'συριζ', 'πολλ', 'ελλην']
Topic 88:  ['συριζ', 'αγορητ', 'επτα', 'υπουργει', 'ακουστ']
Topic 89:  ['κεγκερογλ', 'κλειστ', 'συριζ', 'πρωθυπουργ', 'χρειαζ']
Topic 90:  ['κλειστ', 'ακουστ', 'ελλην', 'συντομ', 'κωνσταντοπουλ']
Topic 91:  ['κλειστ', 'συριζ', 'περιμεν', 'αγορητ', 'κρατ']
Topic 92:  ['ενοτητ', 'σιουφ', 'δευτ', 'σημει', 'κλειστ']
Topic 93:  ['σιουφ', 'πρωθυπουργ', 'κλειστ', 'αφορ', 'αναπτυξ']
Topic 94:  ['συντομ', 'σιουφ', 'συριζ', 'κεγκερογλ', 'χρειαζ']
Topic 95:  ['πρωθυπουργ', 'συντομ', 'αφορ', 'παραγραφ', 'κρατ']
Topic 96:  ['ακουστ', 'συντομ', 'αγορητ', 'ερωτ', 'πλειοψηφιαερωτ']
Topic 97:  ['ακουστ', 'χρειαζ', 'σημει', 'υγει', 'ελλην']
Topic 98:  ['ενοτητ', 'ακουστ', 'νομοτεχν', 'συντομ', 'γνωριζ']
Topic 99:  ['διανεμ', 'ενοτητ', 'χρειαζ', 'κατατεθ', 'νομοτεχν']
Topic 100:  ['συνεχις', 'σταματ', 'νομοτεχν', 'αγορητ', 'βελτιως']
Topic 101:  ['σταματ', 'ροντουλ', 'συριζ', 'συνεχις', 'ολοκληρων']
Topic 102:  ['χρειαζ', 'ονομ', 'αγροτ', 'κοινων', 'περαιωμεν']
Topic 103:  ['χρειαζ', 'συνεχις', 'ολοκληρων', 'πρωθυπουργ', 'ακουστ']
Topic 104:  ['ολοκληρων', 'ονομ', 'φρας', 'βοριδ', 'περαιωμεν']
Topic 105:  ['σχες', 'σταματ', 'χρειαζ', 'πρωθυπουργ', 'συντομ']
Topic 106:  ['συνεχις', 'σχες', 'ονομ', 'παραγραφ', 'γραφ']
Topic 107:  ['ονομ', 'νομοτεχν', 'βελτιως', 'σημει', 'καταλογ']
